First Name,Middle Name,Last Name,Employee Salary,Days Worked,Years Worked,Days Lived,Year Lived,Years Lived,Termination
Fname 5833,R,Lname 5833,107868.8,9367,26,22977,-55,63,0
Fname 7348,B.,Lname 7348,107868.8,4502,12,19197,-66,53,0
Fname 8615,DAWN,Lname 8615,103440.48,3753,10,18129,-68,50,0
Fname 8035,,Lname 8035,103230.4,4425,12,18729,-67,51,0
Fname 5324,,Lname 5324,101293.92,5069,14,22370,-57,61,0
Fname 4560,,Lname 4560,99272.16,2332,6,16766,-72,46,0
Fname 7990,,Lname 7990,98779.2,10026,27,19960,-63,55,0
Fname 2286,K,Lname 2286,98130.24,4124,11,16674,-72,46,0
Fname 1932,GAMBOA,Lname 1932,98130.24,4082,11,16637,-73,46,0
Fname 2702,SUE,Lname 2702,98130.24,3753,10,20262,-63,56,0
Fname 4179,L,Lname 4179,98130.24,3417,9,18460,-68,51,0
Fname 3753,A,Lname 3753,98036.64,9150,25,18611,-67,51,0
Fname 2634,,Lname 2634,97175.52,3452,9,18814,-67,52,0
Fname 2937,,Lname 2937,96120.96,4327,12,19801,-64,54,0
Fname 4174,L,Lname 4174,95996.16,3291,9,20582,-62,56,0
Fname 5834,E,Lname 5834,95721.6,8305,23,18480,-68,51,0
Fname 6310,A,Lname 6310,95721.6,8071,22,17853,-69,49,0
Fname 7009,K,Lname 7009,95721.6,7546,21,23132,-55,63,0
Fname 5287,,Lname 5287,95721.6,7330,20,23799,-53,65,0
Fname 994,,Lname 994,95721.6,5244,14,17747,-70,49,0
Fname 8617,A,Lname 8617,95513.6,617,2,20672,-62,57,0
Fname 4709,L,Lname 4709,95264,14358,39,25796,-47,71,0
Fname 436,B,Lname 436,95264,13539,37,24096,-52,66,0
Fname 1492,P,Lname 1492,95264,11277,31,23524,-54,64,0
Fname 3557,K,Lname 3557,95264,10522,29,19312,-65,53,0
Fname 5239,O,Lname 5239,95264,8702,24,20530,-62,56,0
Fname 1694,R,Lname 1694,95264,8058,22,23774,-53,65,0
Fname 4711,M,Lname 4711,95264,7974,22,18748,-67,51,0
Fname 9769,G,Lname 9769,95264,7750,21,18518,-67,51,0
Fname 12557,L,Lname 12557,95264,7533,21,23206,-55,64,0
Fname 763,,Lname 763,95264,7526,21,20565,-62,56,0
Fname 3174,,Lname 3174,95264,6959,19,17045,-71,47,0
Fname 6534,S,Lname 6534,95264,6211,17,21385,-60,59,0
Fname 584,N.,Lname 584,95264,5286,14,16248,-74,45,0
Fname 3708,,Lname 3708,95264,4082,11,19258,-65,53,0
Fname 4669,GEORGE,Lname 4669,95264,4053,11,23864,-53,65,0
Fname 5320,K,Lname 5320,94966.56,3676,10,18564,-67,51,0
Fname 3786,A,Lname 3786,94806.4,10669,29,22099,-58,61,0
Fname 5304,G,Lname 5304,94806.4,10536,29,23879,-53,65,0
Fname 3502,O,Lname 3502,94806.4,8058,22,19525,-65,53,0
Fname 6392,M,Lname 6392,94806.4,8016,22,17128,-71,47,0
Fname 5922,P,Lname 5922,94806.4,7834,21,17324,-71,47,0
Fname 884,B,Lname 884,94806.4,7638,21,18311,-68,50,0
Fname 2450,C,Lname 2450,94806.4,7596,21,16917,-72,46,0
Fname 6051,MERCHAN,Lname 6051,94806.4,7365,20,20127,-63,55,0
Fname 4479,B,Lname 4479,94806.4,7099,19,20467,-62,56,0
Fname 4248,,Lname 4248,94806.4,6609,18,19137,-66,52,0
Fname 10538,C,Lname 10538,94806.4,6392,18,20235,-63,55,0
Fname 104,V,Lname 104,94806.4,6133,17,17143,-71,47,0
Fname 1926,,Lname 1926,94806.4,4502,12,20345,-62,56,0
Fname 6752,,Lname 6752,94806.4,4502,12,19785,-64,54,0
Fname 2883,,Lname 2883,94806.4,4145,11,18510,-67,51,0
Fname 6105,,Lname 6105,94806.4,4089,11,16837,-72,46,0
Fname 1743,,Lname 1743,94806.4,4019,11,21009,-61,58,0
Fname 7354,L,Lname 7354,94806.4,3641,10,21937,-58,60,0
Fname 2657,S,Lname 2657,94806.4,3445,9,23528,-54,64,0
Fname 7607,R,Lname 7607,94806.4,3172,9,18760,-67,51,0
Fname 1340,L,Lname 1340,94806.4,3039,8,20923,-61,57,0
Fname 5755,,Lname 5755,94806.4,2976,8,19615,-64,54,0
Fname 5472,P,Lname 5472,94806.4,2829,8,22408,-57,61,0
Fname 4558,L,Lname 4558,94806.4,1219,3,16989,-72,47,0
Fname 102,L,Lname 102,94785.6,11873,33,22803,-56,62,0
Fname 1550,J,Lname 1550,94785.6,7561,21,22074,-58,60,0
Fname 234,M,Lname 234,94660.8,5286,14,16016,-74,44,0
Fname 5672,E,Lname 5672,94598.4,6812,19,21998,-58,60,0
Fname 127,DOROTHY,Lname 127,94592.16,5195,14,20436,-62,56,0
Fname 6079,,Lname 6079,94348.8,7454,20,25652,-48,70,0
Fname 2580,,Lname 2580,94348.8,7428,20,20595,-62,56,0
Fname 10051,A,Lname 10051,94348.8,7155,20,20912,-61,57,0
Fname 4240,,Lname 4240,94348.8,6153,17,17101,-71,47,0
Fname 5410,,Lname 5410,94348.8,5293,15,22209,-57,61,0
Fname 4908,J,Lname 4908,94078.4,526,1,20978,-61,57,0
Fname 2813,,Lname 2813,94078.4,484,1,16877,-72,46,0
Fname 6414,,Lname 6414,94078.4,484,1,16935,-72,46,0
Fname 6309,G,Lname 6309,94040.96,8435,23,20616,-62,56,0
Fname 9130,M,Lname 9130,94036.8,232,1,21276,-60,58,0
Fname 9159,A,Lname 9159,94036.8,232,1,19528,-65,54,0
Fname 125,A,Lname 125,93932.8,9451,26,21811,-58,60,0
Fname 5251,CELESTE,Lname 5251,93891.2,4775,13,23210,-55,64,0
Fname 13067,,Lname 13067,93641.6,13903,38,22298,-57,61,0
Fname 10015,M,Lname 10015,93641.6,10109,28,18668,-67,51,0
Fname 5994,L,Lname 5994,93641.6,9003,25,18510,-67,51,0
Fname 4843,D,Lname 4843,93641.6,8254,23,17623,-70,48,0
Fname 2287,M,Lname 2287,93641.6,6391,18,22166,-57,61,0
Fname 6052,B,Lname 6052,93641.6,3858,11,19995,-63,55,0
Fname 6142,,Lname 6142,93641.6,3529,10,14863,-77,41,0
Fname 1747,N,Lname 1747,93641.6,1870,5,11582,-86,32,0
Fname 3705,E,Lname 3705,93641.6,932,3,17608,-70,48,0
Fname 401,D,Lname 401,93433.6,7519,21,18268,-68,50,0
Fname 6107,E,Lname 6107,93433.6,4089,11,19801,-64,54,0
Fname 1608,,Lname 1608,93379.52,3060,8,15240,-76,42,0
Fname 6751,,Lname 6751,93246.4,4509,12,19113,-66,52,0
Fname 380,,Lname 380,93225.6,736,2,20308,-63,56,0
Fname 683,LEIGH,Lname 683,93190.24,5264,14,14277,-79,39,0
Fname 2406,C,Lname 2406,93142.4,1338,4,14239,-79,39,0
Fname 12949,T,Lname 12949,93132,4425,12,15847,-75,43,0
Fname 472,W,Lname 472,93121.6,1422,4,13269,-82,36,0
Fname 4483,B,Lname 4483,93017.6,12321,34,23624,-53,65,0
Fname 838,L,Lname 838,92372.8,10515,29,21738,-59,60,0
Fname 1402,C,Lname 1402,92352,6791,19,16046,-74,44,0
